# 'Elapsed time',' I',' II',' RESP',' SCG'
# 'hh:mm:ss.mmm','mV','mV','mV','mV'
'0:00.013',0.22400795,0.19866904,0.52307690,0.03045518
'0:00.014',0.22492723,0.19897362,0.52307690,0.03045518
'0:00.014',0.22614305,0.19897362,0.52275944,0.03045518
'0:00.014',0.22706233,0.19929205,0.52275944,0.03045518
'0:00.014',0.22827815,0.19959663,0.52275944,0.03045518
'0:00.014',0.22919743,0.19990121,0.52275944,0.03045518
'0:00.015',0.23011671,0.19990121,0.52275944,0.03045518
'0:00.015',0.23103599,0.20020579,0.52275944,0.03045518
'0:00.015',0.23195528,0.20051037,0.52275944,0.06091036
'0:00.015',0.23287456,0.20051037,0.52275944,0.06091036
'0:00.015',0.23376418,0.20081494,0.52275944,0.09136553
'0:00.016',0.23468346,0.20111952,0.52246640,0.09136553
'0:00.016',0.23560274,0.20142410,0.52246640,0.12222678
'0:00.016',0.23652202,0.20142410,0.52246640,0.12222678
'0:00.016',0.23714476,0.20172868,0.52246640,0.15268196
'0:00.016',0.23803439,0.20203326,0.52246640,0.15268196
'0:00.017',0.23865713,0.20233784,0.52246640,0.18313714
'0:00.017',0.23957641,0.20233784,0.52246640,0.18313714
'0:00.017',0.24019915,0.20264242,0.52246640,0.18313714
'0:00.017',0.24108877,0.20294700,0.52214894,0.18313714
'0:00.017',0.24171151,0.20294700,0.52214894,0.15268196
'0:00.018',0.24233425,0.20325158,0.52214894,0.15268196
'0:00.018',0.24292734,0.20355616,0.52214894,0.12222678
'0:00.018',0.24355007,0.20386074,0.52214894,0.12222678
'0:00.018',0.24414316,0.20386074,0.52214894,0.09136553
'0:00.018',0.24446935,0.20416532,0.52214894,0.09136553
'0:00.019',0.24506244,0.20416532,0.52214894,0.06091036
'0:00.019',0.24568518,0.20446990,0.52185590,0.06091036
'0:00.019',0.24598172,0.20477448,0.52185590,0.06091036
'0:00.019',0.24627826,0.20477448,0.52185590,0.03045518
'0:00.019',0.24690100,0.20507906,0.52185590,0.03045518
'0:00.020',0.24719754,0.20507906,0.52185590,0.00000000
'0:00.020',0.24752374,0.20538364,0.52185590,0.00000000
'0:00.020',0.24782028,0.20538364,0.52185590,0.00000000
'0:00.020',0.24811682,0.20568822,0.52153843,0.00000000
'0:00.020',0.24841337,0.20568822,0.52153843,0.00000000
'0:00.021',0.24841337,0.20599280,0.52153843,0.03045518
'0:00.021',0.24873956,0.20599280,0.52153843,0.03045518
'0:00.021',0.24903610,0.20631122,0.52153843,0.03045518
'0:00.021',0.24933265,0.20631122,0.52153843,0.03045518
'0:00.021',0.24933265,0.20661580,0.52153843,0.03045518
'0:00.022',0.24965884,0.20661580,0.52153843,0.03045518
'0:00.022',0.24965884,0.20661580,0.52124539,0.03045518
'0:00.022',0.24995538,0.20692038,0.52124539,0.03045518
'0:00.022',0.24995538,0.20692038,0.52124539,0.00000000
'0:00.022',0.25025193,0.20722496,0.52124539,-0.03045518
'0:00.023',0.25025193,0.20722496,0.52124539,-0.03045518
'0:00.023',0.25054847,0.20722496,0.52124539,-0.06091036
'0:00.023',0.25054847,0.20722496,0.52124539,-0.06091036
'0:00.023',0.25087467,0.20752954,0.52092793,-0.09136553
'0:00.023',0.25087467,0.20752954,0.52092793,-0.09136553
'0:00.024',0.25117121,0.20752954,0.52092793,-0.09136553
'0:00.024',0.25117121,0.20752954,0.52092793,-0.09136553
'0:00.024',0.25146775,0.20783412,0.52092793,-0.09136553
'0:00.024',0.25146775,0.20783412,0.52092793,-0.09136553
'0:00.024',0.25146775,0.20783412,0.52092793,-0.09136553
'0:00.025',0.25179395,0.20783412,0.52063489,-0.09136553
'0:00.025',0.25179395,0.20783412,0.52063489,-0.09136553
'0:00.025',0.25179395,0.20783412,0.52063489,-0.09136553
'0:00.025',0.25179395,0.20783412,0.52063489,-0.09136553
'0:00.025',0.25179395,0.20783412,0.52063489,-0.09136553
'0:00.026',0.25209049,0.20783412,0.52063489,-0.09136553
'0:00.026',0.25209049,0.20783412,0.52063489,-0.09136553
'0:00.026',0.25209049,0.20783412,0.52031743,-0.09136553
'0:00.026',0.25179395,0.20783412,0.52031743,-0.09136553
'0:00.026',0.25179395,0.20783412,0.52031743,-0.09136553
'0:00.027',0.25179395,0.20783412,0.52031743,-0.09136553
'0:00.027',0.25179395,0.20783412,0.52031743,-0.09136553
'0:00.027',0.25146775,0.20783412,0.52031743,-0.09136553
'0:00.027',0.25146775,0.20783412,0.52031743,-0.09136553
'0:00.027',0.25146775,0.20783412,0.52002439,-0.09136553
'0:00.028',0.25117121,0.20783412,0.52002439,-0.09136553
'0:00.028',0.25087467,0.20783412,0.52002439,-0.09136553
'0:00.028',0.25087467,0.20783412,0.52002439,-0.09136553
'0:00.028',0.25054847,0.20783412,0.52002439,-0.06091036
'0:00.028',0.25025193,0.20783412,0.52002439,-0.06091036
'0:00.029',0.24995538,0.20783412,0.51970693,-0.06091036
'0:00.029',0.24965884,0.20752954,0.51970693,-0.06091036
'0:00.029',0.24933265,0.20752954,0.51970693,-0.03045518
'0:00.029',0.24903610,0.20752954,0.51970693,-0.03045518
'0:00.029',0.24873956,0.20752954,0.51970693,-0.03045518
'0:00.030',0.24811682,0.20752954,0.51970693,-0.03045518
'0:00.030',0.24782028,0.20752954,0.51941389,-0.06091036
'0:00.030',0.24719754,0.20752954,0.51941389,-0.06091036
'0:00.030',0.24690100,0.20752954,0.51941389,-0.09136553
'0:00.030',0.24627826,0.20722496,0.51941389,-0.12222678
'0:00.031',0.24568518,0.20722496,0.51941389,-0.15268196
'0:00.031',0.24506244,0.20722496,0.51941389,-0.15268196
'0:00.031',0.24446935,0.20722496,0.51909643,-0.18313714
'0:00.031',0.24384662,0.20722496,0.51909643,-0.18313714
'0:00.031',0.24322388,0.20692038,0.51909643,-0.21359232
'0:00.032',0.24263079,0.20692038,0.51909643,-0.21359232
'0:00.032',0.24200805,0.20692038,0.51909643,-0.21359232
'0:00.032',0.24108877,0.20692038,0.51909643,-0.21359232
'0:00.032',0.24049569,0.20661580,0.51880339,-0.21359232
'0:00.032',0.23957641,0.20661580,0.51880339,-0.21359232
'0:00.033',0.23865713,0.20661580,0.51880339,-0.18313714
'0:00.033',0.23773785,0.20631122,0.51880339,-0.18313714
'0:00.033',0.23681857,0.20631122,0.51880339,-0.18313714
'0:00.033',0.23589929,0.20599280,0.51848593,-0.18313714
'0:00.033',0.23500966,0.20599280,0.51848593,-0.15268196
'0:00.034',0.23409038,0.20568822,0.51848593,-0.15268196
'0:00.034',0.23287456,0.20568822,0.51848593,-0.15268196
'0:00.034',0.23195528,0.20538364,0.51848593,-0.12222678
'0:00.034',0.23070980,0.20538364,0.51848593,-0.12222678
'0:00.034',0.22949398,0.20507906,0.51819289,-0.12222678
'0:00.035',0.22857469,0.20477448,0.51819289,-0.12222678
'0:00.035',0.22735887,0.20477448,0.51819289,-0.12222678
'0:00.035',0.22614305,0.20446990,0.51819289,-0.15268196
'0:00.035',0.22492723,0.20416532,0.51819289,-0.15268196
'0:00.035',0.22371140,0.20386074,0.51787543,-0.18313714
'0:00.036',0.22249558,0.20355616,0.51787543,-0.21359232
'0:00.036',0.22125010,0.20355616,0.51787543,-0.21359232
'0:00.036',0.22003428,0.20325158,0.51787543,-0.24404749
'0:00.036',0.21852192,0.20294700,0.51787543,-0.27450267
'0:00.036',0.21730609,0.20264242,0.51758239,-0.30536392
'0:00.037',0.21609027,0.20233784,0.51758239,-0.33581910
'0:00.037',0.21454825,0.20203326,0.51758239,-0.33581910
'0:00.037',0.21333243,0.20172868,0.51758239,-0.36627428
'0:00.037',0.21211661,0.20142410,0.51726493,-0.36627428
'0:00.037',0.21057459,0.20111952,0.51726493,-0.36627428
'0:00.038',0.20906222,0.20051037,0.51726493,-0.36627428
'0:00.038',0.20784640,0.20020579,0.51726493,-0.36627428
'0:00.038',0.20630438,0.19990121,0.51726493,-0.36627428
'0:00.038',0.20479201,0.19959663,0.51697189,-0.36627428
'0:00.038',0.20357619,0.19897362,0.51697189,-0.36627428
'0:00.039',0.20203417,0.19866904,0.51697189,-0.33581910
'0:00.039',0.20052181,0.19805988,0.51697189,-0.33581910
'0:00.039',0.19897979,0.19775530,0.51697189,-0.33581910
'0:00.039',0.19746742,0.19714614,0.51665443,-0.30536392
'0:00.039',0.19592540,0.19684156,0.51665443,-0.30536392
'0:00.040',0.19411650,0.19623240,0.51665443,-0.27450267
'0:00.040',0.19257448,0.19562325,0.51665443,-0.27450267
'0:00.040',0.19106211,0.19531867,0.51636139,-0.24404749
'0:00.040',0.18922355,0.19470951,0.51636139,-0.24404749
'0:00.040',0.18768153,0.19410035,0.51636139,-0.24404749
'0:00.041',0.18587262,0.19349119,0.51636139,-0.24404749
'0:00.041',0.18403406,0.19257745,0.51604393,-0.24404749
'0:00.041',0.18219550,0.19195444,0.51604393,-0.24404749
'0:00.041',0.18035694,0.19134528,0.51604393,-0.24404749
'0:00.041',0.17854803,0.19043155,0.51604393,-0.24404749
'0:00.042',0.17670947,0.18982239,0.51604393,-0.24404749
'0:00.042',0.17487091,0.18890865,0.51575089,-0.27450267
'0:00.042',0.17303235,0.18799491,0.51575089,-0.27450267
'0:00.042',0.17122344,0.18738575,0.51575089,-0.27450267
'0:00.042',0.16908834,0.18647201,0.51575089,-0.27450267
'0:00.043',0.16724978,0.18555827,0.51543343,-0.27450267
'0:00.043',0.16511467,0.18432611,0.51543343,-0.27450267
'0:00.043',0.16327611,0.18341237,0.51543343,-0.27450267
'0:00.043',0.16114101,0.18249863,0.51543343,-0.27450267
'0:00.043',0.15900590,0.18128031,0.51514039,-0.27450267
'0:00.044',0.15716734,0.18036657,0.51514039,-0.27450267
'0:00.044',0.15503224,0.17914825,0.51514039,-0.27450267
'0:00.044',0.15289714,0.17792993,0.51514039,-0.27450267
'0:00.044',0.15108823,0.17669777,0.51482293,-0.27450267
'0:00.044',0.14892347,0.17547945,0.51482293,-0.27450267
'0:00.045',0.14678837,0.17426113,0.51482293,-0.27450267
'0:00.045',0.14465326,0.17304281,0.51452989,-0.27450267
'0:00.045',0.14251816,0.17182449,0.51452989,-0.27450267
'0:00.045',0.14038306,0.17028775,0.51452989,-0.27450267
'0:00.045',0.13857415,0.16906943,0.51452989,-0.27450267
'0:00.046',0.13643905,0.16754653,0.51421243,-0.27450267
'0:00.046',0.13427429,0.16632821,0.51421243,-0.27450267
'0:00.046',0.13213919,0.16480532,0.51421243,-0.27450267
'0:00.046',0.13000408,0.16326857,0.51421243,-0.27450267
'0:00.046',0.12786898,0.16174567,0.51391939,-0.30536392
'0:00.047',0.12606007,0.16022278,0.51391939,-0.30536392
'0:00.047',0.12392497,0.15869988,0.51391939,-0.33581910
'0:00.047',0.12178986,0.15717698,0.51360193,-0.33581910
'0:00.047',0.11965476,0.15564024,0.51360193,-0.36627428
'0:00.047',0.11749000,0.15411734,0.51360193,-0.36627428
'0:00.048',0.11568110,0.15259444,0.51360193,-0.36627428
'0:00.048',0.11354599,0.15076696,0.51330889,-0.39672945
'0:00.048',0.11141089,0.14923022,0.51330889,-0.39672945
'0:00.048',0.10957233,0.14770732,0.51330889,-0.42718463
'0:00.048',0.10743722,0.14587984,0.51299143,-0.42718463
'0:00.049',0.10530212,0.14435694,0.51299143,-0.42718463
'0:00.049',0.10346356,0.14283404,0.51299143,-0.45763981
'0:00.049',0.10132846,0.14099272,0.51299143,-0.45763981
'0:00.049',0.09948989,0.13946982,0.51269839,-0.48809499
'0:00.049',0.09768099,0.13794692,0.51269839,-0.48809499
'0:00.050',0.09554588,0.13611944,0.51269839,-0.48809499
'0:00.050',0.09370732,0.13458270,0.51238093,-0.51895624
'0:00.050',0.09186876,0.13305980,0.51238093,-0.51895624
'0:00.050',0.09003020,0.13123232,0.51238093,-0.54941142
'0:00.050',0.08789510,0.12970943,0.51208789,-0.54941142
'0:00.051',0.08605653,0.12817268,0.51208789,-0.57986659
'0:00.051',0.08424763,0.12634520,0.51208789,-0.57986659
'0:00.051',0.08240907,0.12482231,0.51208789,-0.61032177
'0:00.051',0.08057050,0.12329941,0.51177043,-0.61032177
'0:00.051',0.07905814,0.12177651,0.51177043,-0.61032177
'0:00.052',0.07721958,0.12023977,0.51177043,-0.64077695
'0:00.052',0.07538102,0.11871687,0.51147739,-0.64077695
'0:00.052',0.07357211,0.11719397,0.51147739,-0.64077695
'0:00.052',0.07173355,0.11567107,0.51147739,-0.61032177
'0:00.052',0.07019153,0.11414817,0.51115992,-0.61032177
'0:00.053',0.06838262,0.11261143,0.51115992,-0.57986659
'0:00.053',0.06684060,0.11108853,0.51115992,-0.54941142
'0:00.053',0.06500204,0.10987021,0.51086688,-0.54941142
'0:00.053',0.06319313,0.10834731,0.51086688,-0.51895624
'0:00.053',0.06165111,0.10681057,0.51086688,-0.48809499
'0:00.054',0.05981255,0.10528767,0.51054942,-0.45763981
'0:00.054',0.05830019,0.10406935,0.51054942,-0.45763981
'0:00.054',0.05646163,0.10254645,0.51054942,-0.42718463
'0:00.054',0.05494926,0.10102355,0.51025638,-0.42718463
'0:00.054',0.05340724,0.09979139,0.51025638,-0.42718463
'0:00.055',0.05159834,0.09826849,0.51025638,-0.39672945
'0:00.055',0.05005632,0.09705017,0.50993892,-0.39672945
'0:00.055',0.04854395,0.09552727,0.50993892,-0.39672945
'0:00.055',0.04670539,0.09430896,0.50993892,-0.39672945
'0:00.055',0.04516337,0.09277221,0.50964588,-0.42718463
'0:00.056',0.04365101,0.09155389,0.50964588,-0.42718463
'0:00.056',0.04213864,0.09033557,0.50964588,-0.42718463
'0:00.056',0.04059662,0.08881268,0.50932842,-0.45763981
'0:00.056',0.03908426,0.08759436,0.50932842,-0.48809499
'0:00.056',0.03754224,0.08637604,0.50932842,-0.48809499
'0:00.057',0.03602987,0.08514388,0.50903538,-0.51895624
'0:00.057',0.03448785,0.08392556,0.50903538,-0.54941142
'0:00.057',0.03297549,0.08270724,0.50903538,-0.57986659
'0:00.057',0.03175967,0.08148892,0.50871792,-0.61032177
'0:00.057',0.03021765,0.08027060,0.50871792,-0.64077695
'0:00.058',0.02870528,0.07935686,0.50871792,-0.64077695
'0:00.058',0.02748946,0.07812470,0.50842488,-0.67123213
'0:00.058',0.02594744,0.07721096,0.50842488,-0.67123213
'0:00.058',0.02473162,0.07599264,0.50842488,-0.67123213
'0:00.058',0.02351579,0.07507890,0.50810742,-0.67123213
'0:00.059',0.02229997,0.07416516,0.50810742,-0.67123213
'0:00.059',0.02105449,0.07325142,0.50781438,-0.67123213
'0:00.059',0.01983867,0.07233768,0.50781438,-0.64077695
'0:00.059',0.01862285,0.07141010,0.50781438,-0.64077695
'0:00.059',0.01740702,0.07049636,0.50749692,-0.64077695
'0:00.060',0.01619120,0.06958262,0.50749692,-0.61032177
'0:00.060',0.01527192,0.06866888,0.50749692,-0.61032177
'0:00.060',0.01405610,0.06805972,0.50720388,-0.61032177
'0:00.060',0.01313682,0.06714598,0.50720388,-0.57986659
'0:00.060',0.01221754,0.06623224,0.50720388,-0.57986659
'0:00.061',0.01100171,0.06562308,0.50688642,-0.57986659
'0:00.061',0.01008243,0.06501392,0.50688642,-0.57986659
'0:00.061',0.00916315,0.06408634,0.50688642,-0.57986659
'0:00.061',0.00824387,0.06347718,0.50659338,-0.57986659
'0:00.061',0.00732459,0.06256344,0.50659338,-0.57986659
'0:00.062',0.00643496,0.06195428,0.50627592,-0.57986659
'0:00.062',0.00581223,0.06134512,0.50627592,-0.54941142
'0:00.062',0.00489295,0.06073596,0.50627592,-0.54941142
'0:00.062',0.00427021,0.05982223,0.50598288,-0.51895624
'0:00.062',0.00338058,0.05921307,0.50598288,-0.51895624
'0:00.063',0.00275784,0.05860391,0.50598288,-0.51895624
'0:00.063',0.00183856,0.05799475,0.50566542,-0.48809499
'0:00.063',0.00124548,0.05706716,0.50566542,-0.48809499
'0:00.063',0.00062274,0.05645800,0.50537238,-0.48809499
'0:00.063',0.00000000,0.05584884,0.50537238,-0.48809499
'0:00.064',-0.00059308,0.05493511,0.50537238,-0.45763981
'0:00.064',-0.00121582,0.05432595,0.50505492,-0.45763981
'0:00.064',-0.00180891,0.05371679,0.50505492,-0.45763981
'0:00.064',-0.00213510,0.05310763,0.50476188,-0.42718463
'0:00.064',-0.00272819,0.05219389,0.50476188,-0.42718463
'0:00.065',-0.00335093,0.05158473,0.50476188,-0.39672945
'0:00.065',-0.00394401,0.05067099,0.50444442,-0.39672945
'0:00.065',-0.00456675,0.05004799,0.50444442,-0.39672945
'0:00.065',-0.00486329,0.04913425,0.50444442,-0.39672945
'0:00.065',-0.00548603,0.04852509,0.50415138,-0.36627428
'0:00.066',-0.00607911,0.04761135,0.50415138,-0.36627428
'0:00.066',-0.00670185,0.04700219,0.50383392,-0.36627428
'0:00.066',-0.00732459,0.04608845,0.50383392,-0.36627428
'0:00.066',-0.00791768,0.04517471,0.50383392,-0.36627428
'0:00.066',-0.00883696,0.04456555,0.50354088,-0.36627428
'0:00.067',-0.00945969,0.04365181,0.50354088,-0.36627428
'0:00.067',-0.01005278,0.04272423,0.50322342,-0.36627428
'0:00.067',-0.01097206,0.04181049,0.50322342,-0.39672945
'0:00.067',-0.01159480,0.04120133,0.50322342,-0.39672945
'0:00.067',-0.01218788,0.04028759,0.50293038,-0.39672945
'0:00.068',-0.01310716,0.03937385,0.50293038,-0.39672945
'0:00.068',-0.01402644,0.03846011,0.50261292,-0.39672945
'0:00.068',-0.01464918,0.03754637,0.50261292,-0.42718463
'0:00.068',-0.01553881,0.03663263,0.50261292,-0.39672945
'0:00.068',-0.01645809,0.03570505,0.50231988,-0.39672945
'0:00.069',-0.01708083,0.03479131,0.50231988,-0.39672945
'0:00.069',-0.01800011,0.03387757,0.50200242,-0.36627428
'0:00.069',-0.01891939,0.03296383,0.50200242,-0.36627428
'0:00.069',-0.01983867,0.03205009,0.50200242,-0.33581910
'0:00.069',-0.02072830,0.03113635,0.50170938,-0.30536392
'0:00.070',-0.02164758,0.03022261,0.50170938,-0.27450267
'0:00.070',-0.02256686,0.02930888,0.50139192,-0.24404749
'0:00.070',-0.02348614,0.02838129,0.50139192,-0.21359232
'0:00.070',-0.02440542,0.02777213,0.50139192,-0.18313714
'0:00.070',-0.02532470,0.02685839,0.50109888,-0.15268196
'0:00.071',-0.02624398,0.02594465,0.50109888,-0.12222678
'0:00.071',-0.02716326,0.02503091,0.50078142,-0.09136553
'0:00.071',-0.02805289,0.02411718,0.50078142,-0.09136553
'0:00.071',-0.02929837,0.02320344,0.50078142,-0.06091036
'0:00.071',-0.03018799,0.02228970,0.50048837,-0.03045518
'0:00.072',-0.03143347,0.02136211,0.50048837,-0.03045518
'0:00.072',-0.03232310,0.02075295,0.50017091,-0.03045518
'0:00.072',-0.03356857,0.01983922,0.50017091,0.00000000
'0:00.072',-0.03478440,0.01892548,0.49987787,0.00000000
'0:00.072',-0.03570368,0.01801174,0.49987787,-0.03045518
'0:00.073',-0.03691950,0.01709800,0.49987787,-0.03045518
'0:00.073',-0.03813532,0.01618426,0.49956041,-0.03045518
'0:00.073',-0.03935114,0.01527052,0.49956041,-0.06091036
'0:00.073',-0.04056697,0.01434294,0.49926737,-0.06091036
'0:00.073',-0.04181244,0.01342920,0.49926737,-0.09136553
'0:00.074',-0.04302827,0.01251546,0.49926737,-0.09136553
'0:00.074',-0.04424409,0.01190630,0.49894991,-0.09136553
'0:00.074',-0.04545991,0.01099256,0.49894991,-0.09136553
'0:00.074',-0.04667574,0.01007882,0.49865687,-0.09136553
'0:00.074',-0.04789156,0.00916508,0.49865687,-0.09136553
'0:00.075',-0.04910738,0.00825134,0.49833941,-0.09136553
'0:00.075',-0.05035286,0.00732376,0.49833941,-0.09136553
'0:00.075',-0.05156868,0.00671460,0.49833941,-0.06091036
'0:00.075',-0.05278450,0.00580086,0.49804637,-0.06091036
'0:00.075',-0.05400033,0.00488712,0.49804637,-0.03045518
'0:00.076',-0.05521615,0.00397338,0.49772891,0.00000000
'0:00.076',-0.05643197,0.00305964,0.49772891,0.03045518
'0:00.076',-0.05767745,0.00245048,0.49743587,0.06091036
'0:00.076',-0.05859673,0.00153674,0.49743587,0.09136553
'0:00.076',-0.05981255,0.00060916,0.49743587,0.09136553
'0:00.077',-0.06102838,0.00000000,0.49711841,0.12222678
'0:00.077',-0.06224420,-0.00091374,0.49711841,0.15268196
'0:00.077',-0.06316348,-0.00152290,0.49682537,0.18313714
'0:00.077',-0.06437930,-0.00243664,0.49682537,0.18313714
'0:00.077',-0.06559513,-0.00304580,0.49650791,0.21359232
'0:00.078',-0.06651441,-0.00395954,0.49650791,0.24404749
'0:00.078',-0.06773023,-0.00456870,0.49650791,0.27450267
'0:00.078',-0.06864951,-0.00517786,0.49621487,0.27450267
'0:00.078',-0.06986533,-0.00578701,0.49621487,0.30536392
'0:00.078',-0.07078461,-0.00671460,0.49589741,0.33581910
'0:00.079',-0.07200044,-0.00732376,0.49589741,0.36627428
'0:00.079',-0.07291972,-0.00793292,0.49560437,0.36627428
'0:00.079',-0.07413554,-0.00854208,0.49560437,0.39672945
'0:00.079',-0.07505482,-0.00915124,0.49560437,0.39672945
'0:00.079',-0.07627064,-0.00976040,0.49528691,0.42718463
'0:00.080',-0.07718992,-0.01036955,0.49528691,0.45763981
'0:00.080',-0.07840575,-0.01067413,0.49499387,0.48809499
'0:00.080',-0.07932503,-0.01128329,0.49499387,0.48809499
'0:00.080',-0.08054085,-0.01189245,0.49467641,0.51895624
'0:00.080',-0.08178633,-0.01250161,0.49467641,0.51895624
'0:00.081',-0.08270561,-0.01280619,0.49467641,0.51895624
'0:00.081',-0.08392143,-0.01341535,0.49438337,0.51895624
'0:00.081',-0.08484071,-0.01403836,0.49438337,0.51895624
'0:00.081',-0.08605653,-0.01434294,0.49409033,0.51895624
'0:00.081',-0.08727236,-0.01495210,0.49409033,0.51895624
'0:00.082',-0.08819164,-0.01525667,0.49377287,0.51895624
'0:00.082',-0.08940746,-0.01586583,0.49377287,0.51895624
'0:00.082',-0.09032674,-0.01617041,0.49347983,0.54941142
'0:00.082',-0.09154256,-0.01647499,0.49347983,0.54941142
'0:00.082',-0.09246184,-0.01708415,0.49347983,0.57986659
'0:00.083',-0.09338113,-0.01738873,0.49316237,0.57986659
'0:00.083',-0.09430041,-0.01769331,0.49316237,0.57986659
'0:00.083',-0.09551623,-0.01830247,0.49286933,0.61032177
'0:00.083',-0.09643551,-0.01860705,0.49286933,0.61032177
'0:00.083',-0.09732514,-0.01891163,0.49255187,0.61032177
'0:00.084',-0.09824442,-0.01921621,0.49255187,0.64077695
'0:00.084',-0.09886716,-0.01952079,0.49255187,0.64077695
'0:00.084',-0.09978644,-0.02012995,0.49225883,0.64077695
'0:00.084',-0.10070572,-0.02043453,0.49225883,0.67123213
'0:00.084',-0.10129880,-0.02075295,0.49194137,0.67123213
'0:00.085',-0.10192154,-0.02105753,0.49194137,0.67123213
'0:00.085',-0.10284082,-0.02136211,0.49164833,0.70209338
'0:00.085',-0.10343390,-0.02166669,0.49164833,0.70209338
'0:00.085',-0.10405664,-0.02197127,0.49133087,0.73254855
'0:00.085',-0.10464973,-0.02227585,0.49133087,0.73254855
'0:00.086',-0.10527247,-0.02258043,0.49103783,0.76300373
'0:00.086',-0.10556901,-0.02318959,0.49103783,0.76300373
'0:00.086',-0.10619175,-0.02349417,0.49103783,0.79345891
'0:00.086',-0.10648829,-0.02379875,0.49072037,0.79345891
'0:00.086',-0.10711103,-0.02410333,0.49072037,0.82391409
