# Captured 2020-06-21 03:47:24.254526 by unknown user
# Built at revision 8ca98ec (dirty)
time(sec)  pc_setpoint  pressure
1.510  35.000  29.446
1.520  35.000  28.719
1.530  35.000  28.217
1.540  35.000  29.500
1.550  35.000  29.561
1.560  35.000  29.594
1.570  35.000  30.273
1.580  35.000  30.142
1.590  35.000  30.501
1.600  35.000  29.615
1.610  35.000  30.802
1.620  35.000  30.423
1.630  35.000  31.632
1.640  35.000  31.738
1.650  35.000  31.040
1.660  35.000  31.083
1.670  35.000  32.287
1.680  35.000  32.049
1.690  35.000  31.483
1.700  35.000  32.713
1.710  35.000  32.793
1.720  35.000  32.383
1.730  35.000  32.395
1.740  35.000  33.769
1.750  35.000  32.609
1.760  35.000  33.264
1.770  35.000  33.854
1.780  35.000  33.429
1.790  35.000  33.602
1.800  35.000  34.630
1.810  35.000  33.776
1.820  35.000  34.137
1.830  35.000  34.984
1.840  35.000  34.667
1.850  35.000  35.032
1.860  35.000  35.960
1.870  35.000  34.924
1.880  35.000  35.318
1.890  35.000  35.267
1.900  35.000  35.697
1.910  35.000  34.958
1.920  35.000  35.993
1.930  35.000  34.780
1.940  35.000  36.108
1.950  35.000  34.457
1.960  35.000  35.581
1.970  35.000  35.709
1.980  35.000  35.472
1.990  35.000  35.361
2.000  35.000  35.217
2.010  35.000  35.914
2.020  35.000  35.826
2.030  35.000  35.592
2.040  35.000  35.601
2.050  35.000  35.876
2.060  35.000  35.764
2.070  35.000  36.047
2.080  35.000  34.715
2.090  35.000  35.859
2.100  35.000  35.029
2.110  35.000  34.280
2.120  35.000  34.340
2.130  35.000  35.743
2.140  35.000  35.600
2.150  35.000  34.801
2.160  35.000  35.117
2.170  35.000  34.967
2.180  35.000  35.537
2.190  35.000  34.768
2.200  35.000  35.225
2.210  35.000  35.550
2.220  35.000  35.346
2.230  35.000  34.685
2.240  35.000  35.304
2.250  35.000  35.128
2.260  35.000  35.432
2.270  35.000  34.451
2.280  35.000  35.502
2.290  35.000  34.640
2.300  35.000  35.719
2.310  35.000  35.147
2.320  35.000  34.626
2.330  35.000  34.512
2.340  35.000  35.113
2.350  5.000  35.795
2.360  5.000  34.417
2.370  5.000  31.342
2.380  5.000  26.833
2.390  5.000  23.185
2.400  5.000  21.531
2.410  5.000  20.958
2.420  5.000  20.093
2.430  5.000  19.989
2.440  5.000  19.474
2.450  5.000  19.186
2.460  5.000  18.826
2.470  5.000  18.550
2.480  5.000  18.416
2.490  5.000  17.987
2.500  5.000  17.720
2.510  5.000  17.538
2.520  5.000  17.146
2.530  5.000  16.998
2.540  5.000  16.852
2.550  5.000  16.552
2.560  5.000  16.229
2.570  5.000  15.995
2.580  5.000  15.612
2.590  5.000  15.340
2.600  5.000  14.995
2.610  5.000  14.785
2.620  5.000  14.610
2.630  5.000  14.305
2.640  5.000  14.235
2.650  5.000  14.126
2.660  5.000  13.843
2.670  5.000  13.623
2.680  5.000  13.508
2.690  5.000  13.290
2.700  5.000  13.145
2.710  5.000  12.822
2.720  5.000  12.723
2.730  5.000  12.583
2.740  5.000  12.417
2.750  5.000  12.205
2.760  5.000  11.996
2.770  5.000  11.778
2.780  5.000  11.677
2.790  5.000  11.433
2.800  5.000  11.267
2.810  5.000  11.033
2.820  5.000  10.803
2.830  5.000  10.656
2.840  5.000  10.505
2.850  5.000  10.336
2.860  5.000  10.224
2.870  5.000  10.155
2.880  5.000  10.002
2.890  5.000  9.799
2.900  5.000  9.466
2.910  5.000  9.312
2.920  5.000  9.036
2.930  5.000  8.916
2.940  5.000  8.898
2.950  5.000  8.784
2.960  5.000  8.612
2.970  5.000  8.400
2.980  5.000  8.281
2.990  5.000  8.067
3.000  5.000  7.941
3.010  5.000  7.856
3.020  5.000  7.615
3.030  5.000  7.587
3.040  5.000  7.323
3.050  5.000  7.224
3.060  5.000  7.119
3.070  5.000  6.904
3.080  5.000  6.831
3.090  5.000  6.722
3.100  5.000  6.540
3.110  5.000  6.464
3.120  5.000  6.350
3.130  5.000  6.144
3.140  5.000  6.091
3.150  5.000  5.944
3.160  5.000  5.934
3.170  5.000  5.789
3.180  5.000  5.609
3.190  5.000  5.542
3.200  5.000  5.465
3.210  5.000  5.260
3.220  5.000  5.168
3.230  5.000  5.135
3.240  5.000  5.038
3.250  5.000  4.907
3.260  5.000  4.737
3.270  5.000  4.688
3.280  5.000  4.472
3.290  5.000  4.411
3.300  5.000  4.362
3.310  5.000  4.291
3.320  5.000  4.240
3.330  5.000  4.222
3.340  5.000  4.145
3.350  5.000  4.149
3.360  5.000  4.129
3.370  5.000  4.081
3.380  5.000  4.151
3.390  5.000  4.124
3.400  5.000  4.130
3.410  5.000  4.125
3.420  5.000  4.103
3.430  5.000  4.005
3.440  5.000  4.156
3.450  5.000  4.296
3.460  5.000  4.454
3.470  5.000  4.710
3.480  5.000  4.657
3.490  5.000  4.818
3.500  5.000  4.527
3.510  5.000  4.612
3.520  5.000  4.693
3.530  5.000  4.570
3.540  5.000  4.559
3.550  5.000  4.520
3.560  5.000  4.575
3.570  5.000  4.512
3.580  5.000  4.692
3.590  5.000  4.834
3.600  5.000  4.961
3.610  5.000  4.614
3.620  5.000  4.668
3.630  5.000  4.746
3.640  5.000  5.102
3.650  5.000  4.968
3.660  5.000  4.928
3.670  5.000  4.870
3.680  5.000  5.091
3.690  5.000  5.086
3.700  5.000  5.026
3.710  5.000  5.035
3.720  5.000  4.864
3.730  5.000  5.081
3.740  5.000  5.243
3.750  5.000  5.046
3.760  5.000  5.121
3.770  5.000  5.192
3.780  5.000  5.041
3.790  5.000  5.114
3.800  5.000  5.116
3.810  5.000  5.069
3.820  5.000  5.112
3.830  5.000  5.075
3.840  5.000  5.148
3.850  5.000  5.171
3.860  5.000  5.173
3.870  5.000  5.136
3.880  5.000  4.989
3.890  5.000  4.902
3.900  5.000  4.992
3.910  5.000  4.961
3.920  5.000  5.014
3.930  5.000  4.967
3.940  5.000  4.997
3.950  5.000  4.850
3.960  5.000  4.962
3.970  5.000  4.970
3.980  5.000  4.926
3.990  5.000  4.944
4.000  5.000  4.965
4.010  5.000  4.968
4.020  5.000  5.194
4.030  5.000  4.903
4.040  5.000  4.810
4.050  5.000  5.029
4.060  5.000  5.029
4.070  5.000  4.825
4.080  5.000  4.831
4.090  5.000  4.891
4.100  5.000  5.040
4.110  5.000  4.910
4.120  5.000  4.960
4.130  5.000  4.964
4.140  5.000  4.886
4.150  5.000  4.939
4.160  5.000  5.006
4.170  5.000  4.962
4.180  5.000  5.055
4.190  5.000  4.990
4.200  5.000  5.012
4.210  5.000  5.068
4.220  5.000  4.934
4.230  5.000  4.989
4.240  5.000  5.045
4.250  5.000  5.132
4.260  5.000  5.093
4.270  5.000  5.070
4.280  5.000  5.116
4.290  5.000  5.077
4.300  5.000  5.117
4.310  5.000  5.149
4.320  5.000  4.909
4.330  5.000  4.985
4.340  5.000  5.249
4.350  5.000  5.102
4.360  5.000  4.789
4.370  5.000  4.755
4.380  5.000  5.016
4.390  5.000  5.057
4.400  5.000  5.082
4.410  5.000  4.812
4.420  5.000  4.958
4.430  5.000  4.956
4.440  5.000  4.981
4.450  5.000  4.982
4.460  5.000  5.014
4.470  5.000  4.928
4.480  5.000  4.942
4.490  5.000  4.924
4.500  5.000  5.142
4.510  5.000  5.096
4.520  5.000  4.940
4.530  5.000  4.740
4.540  5.000  4.953
4.550  5.000  5.048
4.560  5.000  5.086
4.570  5.000  4.975
4.580  5.000  4.915
4.590  5.000  4.960
4.600  5.000  5.118
4.610  5.000  5.141
4.620  5.000  4.965
4.630  5.000  4.898
4.640  5.000  5.001
4.650  5.000  5.031
4.660  5.000  5.172
4.670  5.000  5.011
4.680  5.000  4.886
4.690  5.000  5.056
4.700  5.000  5.052
4.710  5.000  5.151
4.720  5.000  5.105
4.730  5.000  5.140
4.740  5.000  4.903
4.750  5.000  4.946
4.760  5.000  4.999
4.770  5.000  5.115
4.780  5.000  5.108
4.790  5.000  4.951
4.800  5.000  4.817
4.810  5.000  4.856
4.820  5.000  4.980
4.830  5.000  4.827
4.840  5.000  5.096
4.850  5.000  4.923
4.860  5.000  4.947
4.870  5.000  5.070
4.880  5.000  4.967
4.890  5.000  5.055
4.900  5.000  4.975
4.910  5.000  4.995
4.920  5.000  4.978
4.930  5.000  5.031
4.940  5.000  5.167
4.950  5.000  4.765
4.960  5.000  4.903
4.970  5.000  5.015
4.980  5.000  5.118
4.990  5.000  5.179
5.000  5.000  4.863
5.010  5.000  4.770
5.020  5.000  4.958
5.030  5.000  5.171
5.040  5.000  5.154
5.050  5.000  4.946
5.060  5.000  4.860
5.070  5.000  5.016
5.080  5.000  5.053
5.090  5.000  4.929
5.100  5.000  5.130
5.110  5.000  5.059
5.120  5.000  4.920
5.130  5.000  4.968
5.140  5.000  5.084
5.150  5.000  5.075
5.160  5.000  5.101
5.170  5.000  4.966
5.180  5.000  4.945
5.190  5.000  5.010
5.200  5.000  5.029
5.210  5.000  5.091
5.220  5.000  5.088
5.230  5.000  4.922
5.240  5.000  4.870
5.250  5.000  5.033
5.260  5.000  4.864
5.270  5.000  4.967
5.280  5.000  4.999
5.290  5.000  5.057
5.300  5.000  4.918
5.310  5.000  4.945
5.320  5.000  4.977
5.330  5.000  5.027
5.340  5.000  4.932
5.350  5.000  5.090
5.360  5.000  4.976
5.370  5.000  5.108
5.380  5.000  5.079
5.390  5.000  4.780
5.400  5.000  5.016
5.410  5.000  5.017
5.420  5.000  5.013
5.430  5.000  4.910
5.440  5.000  5.060
5.450  5.000  4.937
5.460  5.000  5.034
5.470  5.000  4.980
5.480  5.000  5.030
5.490  5.000  5.056
5.500  5.000  5.026
5.510  5.000  4.889
5.520  5.000  4.960
5.530  5.000  5.165
5.540  5.000  5.126
5.550  5.000  4.992
5.560  5.000  4.934
5.570  5.000  5.006
5.580  5.000  5.095
5.590  5.000  5.136
5.600  5.000  4.970
5.610  5.000  4.681
5.620  5.000  4.924
5.630  5.000  5.200
5.640  5.000  5.112
5.650  5.000  4.852
5.660  5.000  4.791
5.670  5.000  5.071
5.680  5.000  5.053
5.690  5.000  5.010
5.700  5.000  4.931
5.710  5.000  5.068
5.720  5.000  4.988
5.730  5.000  4.966
5.740  5.000  4.992
5.750  5.000  5.070
5.760  5.000  5.245
5.770  5.000  5.027
5.780  5.000  4.829
5.790  5.000  5.046
5.800  5.000  5.042
5.810  5.000  5.055
5.820  5.000  5.076
5.830  5.000  4.780
5.840  5.000  4.941
5.850  5.000  5.030
5.860  5.000  5.079
5.870  5.000  4.889
5.880  5.000  4.995
5.890  5.000  4.971
5.900  5.000  4.943
5.910  5.000  5.062
5.920  5.000  4.973
5.930  5.000  4.975
5.940  5.000  4.964
5.950  5.000  5.022
5.960  5.000  4.967
5.970  5.000  5.021
5.980  5.000  5.225
5.990  5.000  4.841
6.000  5.000  4.937
6.010  5.000  5.106
6.020  5.000  5.238
6.030  5.000  4.812
6.040  5.000  4.950
6.050  5.000  5.162
6.060  5.000  5.102
6.070  5.000  5.092
6.080  5.000  4.798
6.090  5.000  4.856
6.100  5.000  5.093
6.110  5.000  5.155
6.120  5.000  4.902
6.130  5.000  4.900
6.140  5.000  4.859
6.150  5.000  4.938
6.160  5.000  5.003
6.170  5.000  4.955
6.180  5.000  4.980
6.190  5.000  4.925
6.200  5.000  5.007
6.210  5.000  4.976
6.220  5.000  4.947
6.230  5.000  4.959
6.240  5.000  4.969
6.250  5.000  4.882
6.260  5.000  5.082
6.270  5.000  5.065
6.280  5.000  5.067
6.290  5.000  5.100
6.300  5.000  5.023
6.310  5.000  5.080
6.320  5.000  5.027
6.330  5.000  5.003
6.340  5.000  5.190
6.350  5.000  4.947
6.360  5.000  4.930
6.370  5.000  5.112
6.380  5.000  5.081
6.390  5.000  5.116
6.400  5.000  5.018
6.410  5.000  4.856
6.420  5.000  4.960
6.430  5.000  5.124
6.440  5.000  5.083
6.450  5.000  4.970
6.460  5.000  5.102
6.470  5.000  4.858
6.480  5.000  5.021
6.490  5.000  5.171
6.500  5.000  5.165
6.510  5.000  5.007
6.520  5.000  4.769
6.530  5.000  4.773
6.540  5.000  4.868
6.550  5.000  4.999
6.560  5.000  4.908
6.570  5.000  4.888
6.580  5.000  4.940
6.590  5.000  4.908
6.600  5.000  5.066
6.610  5.000  5.047
6.620  5.000  4.965
6.630  5.000  4.995
6.640  5.000  4.968
6.650  5.000  5.062
6.660  5.000  4.932
6.670  5.000  4.941
6.680  5.000  5.028
6.690  5.000  4.856
6.700  5.000  4.897
6.710  5.000  5.127
6.720  5.000  5.128
6.730  5.000  5.022
6.740  5.000  4.986
6.750  5.000  5.088
6.760  5.000  4.999
6.770  5.000  5.052
6.780  5.000  5.155
6.790  5.000  5.101
6.800  5.000  4.838
6.810  5.000  5.100
6.820  5.000  4.960
6.830  5.000  5.179
6.840  5.000  4.958
6.850  5.000  4.824
6.860  5.000  5.015
6.870  5.000  5.158
6.880  5.000  4.929
6.890  5.000  5.052
6.900  5.000  4.947
6.910  5.000  4.926
6.920  5.000  5.020
6.930  5.000  5.069
6.940  5.000  5.079
6.950  5.000  4.950
6.960  5.000  5.044
6.970  5.000  5.012
6.980  5.000  5.177
6.990  5.000  5.021
7.000  5.000  4.968
7.010  5.000  4.888
7.020  5.000  4.971
7.030  5.000  4.930
7.040  5.000  5.123
7.050  5.000  5.009
7.060  5.000  4.786
7.070  5.000  4.873
7.080  5.000  5.054
7.090  5.000  5.061
7.100  5.000  4.974
7.110  5.000  4.802
7.120  5.000  5.031
7.130  5.000  5.260
7.140  5.000  5.001
7.150  5.000  4.862
7.160  8.000  4.774
7.170  11.000  5.006
7.180  14.000  5.917
7.190  17.000  8.899
7.200  20.000  11.448
7.210  23.000  13.126
7.220  26.000  15.513
7.230  29.000  18.916
7.240  32.000  21.329
7.250  35.000  22.678
7.260  35.000  22.899
7.270  35.000  22.828
7.280  35.000  23.366
7.290  35.000  23.833
7.300  35.000  24.321
7.310  35.000  24.289
7.320  35.000  24.480
7.330  35.000  24.634
7.340  35.000  25.296
7.350  35.000  24.341
7.360  35.000  25.562
7.370  35.000  25.653
7.380  35.000  25.583
7.390  35.000  26.384
7.400  35.000  26.012
7.410  35.000  26.337
7.420  35.000  26.233
7.430  35.000  26.887
7.440  35.000  27.078
7.450  35.000  27.454
7.460  35.000  27.590
7.470  35.000  28.251
7.480  35.000  27.096
7.490  35.000  27.647
7.500  35.000  28.142
7.510  35.000  28.068
7.520  35.000  28.176
7.530  35.000  29.208
7.540  35.000  29.409
7.550  35.000  28.800
7.560  35.000  29.499
7.570  35.000  29.603
7.580  35.000  30.464
7.590  35.000  30.367
7.600  35.000  30.251
7.610  35.000  31.230
7.620  35.000  30.498
7.630  35.000  30.751
7.640  35.000  30.927
7.650  35.000  31.221
7.660  35.000  31.674
7.670  35.000  31.610
7.680  35.000  32.221
7.690  35.000  31.894
7.700  35.000  32.305
7.710  35.000  31.661
7.720  35.000  32.711
7.730  35.000  32.711
7.740  35.000  33.193
7.750  35.000  33.133
7.760  35.000  33.597
7.770  35.000  33.582
7.780  35.000  33.169
7.790  35.000  33.864
7.800  35.000  33.794
7.810  35.000  34.027
7.820  35.000  34.618
7.830  35.000  34.640
7.840  35.000  35.014
7.850  35.000  34.576
7.860  35.000  34.705
7.870  35.000  34.845
7.880  35.000  35.570
7.890  35.000  35.337
7.900  35.000  35.677
7.910  35.000  35.931
7.920  35.000  35.347
7.930  35.000  35.209
7.940  35.000  34.735
7.950  35.000  36.231
7.960  35.000  34.763
7.970  35.000  35.758
7.980  35.000  34.281
7.990  35.000  35.241
8.000  35.000  35.253
8.010  35.000  35.206
8.020  35.000  36.622
8.030  35.000  35.161
8.040  35.000  35.211
8.050  35.000  35.900
8.060  35.000  35.769
8.070  35.000  35.983
8.080  35.000  36.260
8.090  35.000  35.683
8.100  35.000  36.022
8.110  35.000  34.947
8.120  35.000  36.035
8.130  35.000  34.684
8.140  35.000  34.519
8.150  35.000  34.701
8.160  35.000  35.041
8.170  35.000  35.462
8.180  35.000  35.244
8.190  35.000  34.780
8.200  35.000  35.115
8.210  35.000  35.749
8.220  35.000  34.874
8.230  35.000  34.975
8.240  35.000  34.846
8.250  35.000  35.504
8.260  35.000  34.951
8.270  35.000  34.870
8.280  35.000  34.938
8.290  35.000  35.477
8.300  35.000  35.170
8.310  35.000  35.196
8.320  35.000  34.656
8.330  35.000  35.471
8.340  35.000  34.922
8.350  35.000  34.791
8.360  5.000  34.384
8.370  5.000  34.294
8.380  5.000  31.524
8.390  5.000  26.793
8.400  5.000  22.950
8.410  5.000  21.384
8.420  5.000  21.022
8.430  5.000  20.140
8.440  5.000  19.758
8.450  5.000  19.391
8.460  5.000  19.085
8.470  5.000  18.924
8.480  5.000  18.560
8.490  5.000  18.235
8.500  5.000  17.976
8.510  5.000  17.845
8.520  5.000  17.566
8.530  5.000  17.282
8.540  5.000  16.956
8.550  5.000  16.708
8.560  5.000  16.530
8.570  5.000  16.383
8.580  5.000  16.266
8.590  5.000  15.938
8.600  5.000  15.691
8.610  5.000  15.343
8.620  5.000  15.113
8.630  5.000  14.935
8.640  5.000  14.624
8.650  5.000  14.578
8.660  5.000  14.412
8.670  5.000  14.123
8.680  5.000  14.013
8.690  5.000  13.726
8.700  5.000  13.514
8.710  5.000  13.315
8.720  5.000  13.072
8.730  5.000  12.946
8.740  5.000  12.645
8.750  5.000  12.441
8.760  5.000  12.313
8.770  5.000  12.143
8.780  5.000  11.961
8.790  5.000  11.719
8.800  5.000  11.584
8.810  5.000  11.340
8.820  5.000  11.167
8.830  5.000  11.011
8.840  5.000  10.884
8.850  5.000  10.703
8.860  5.000  10.519
8.870  5.000  10.234
8.880  5.000  10.117
8.890  5.000  9.957
8.900  5.000  9.813
8.910  5.000  9.607
8.920  5.000  9.482
8.930  5.000  9.346
8.940  5.000  9.145
8.950  5.000  8.974
8.960  5.000  8.826
8.970  5.000  8.713
8.980  5.000  8.487
8.990  5.000  8.392
9.000  5.000  8.226
9.010  5.000  7.984
9.020  5.000  7.906
9.030  5.000  7.767
9.040  5.000  7.622
9.050  5.000  7.524
9.060  5.000  7.333
9.070  5.000  7.188
9.080  5.000  7.054
9.090  5.000  6.944
9.100  5.000  6.800
9.110  5.000  6.579
9.120  5.000  6.498
9.130  5.000  6.351
9.140  5.000  6.221
9.150  5.000  6.151
9.160  5.000  6.003
9.170  5.000  5.862
9.180  5.000  5.784
9.190  5.000  5.699
9.200  5.000  5.506
9.210  5.000  5.398
9.220  5.000  5.300
9.230  5.000  5.110
9.240  5.000  5.049
9.250  5.000  4.956
9.260  5.000  4.819
9.270  5.000  4.661
9.280  5.000  4.569
9.290  5.000  4.450
9.300  5.000  4.446
9.310  5.000  4.265
9.320  5.000  4.209
9.330  5.000  4.222
9.340  5.000  4.187
9.350  5.000  4.141
9.360  5.000  4.208
9.370  5.000  4.063
9.380  5.000  3.965
9.390  5.000  3.973
9.400  5.000  4.021
9.410  5.000  4.069
9.420  5.000  4.032
9.430  5.000  3.971
9.440  5.000  4.010
9.450  5.000  4.251
9.460  5.000  4.475
9.470  5.000  4.889
9.480  5.000  4.807
9.490  5.000  4.629
9.500  5.000  4.520
9.510  5.000  4.559
9.520  5.000  4.700
9.530  5.000  4.587
9.540  5.000  4.350
9.550  5.000  4.449
9.560  5.000  4.743
9.570  5.000  4.810
9.580  5.000  4.719
9.590  5.000  4.635
9.600  5.000  4.664
9.610  5.000  4.807
9.620  5.000  4.973
9.630  5.000  4.897
9.640  5.000  4.761
9.650  5.000  4.899
9.660  5.000  4.824
9.670  5.000  4.853
9.680  5.000  4.962
9.690  5.000  4.958
9.700  5.000  5.008
9.710  5.000  5.101
9.720  5.000  5.191
9.730  5.000  5.157
9.740  5.000  5.255
9.750  5.000  5.042
9.760  5.000  5.139
9.770  5.000  5.047
9.780  5.000  5.209
9.790  5.000  5.323
9.800  5.000  5.139
9.810  5.000  4.982
9.820  5.000  5.088
9.830  5.000  5.266
9.840  5.000  5.251
9.850  5.000  4.997
9.860  5.000  4.964
9.870  5.000  5.011
9.880  5.000  5.219
9.890  5.000  5.181
9.900  5.000  4.964
9.910  5.000  4.910
9.920  5.000  4.844
9.930  5.000  4.920
9.940  5.000  5.137
9.950  5.000  4.940
9.960  5.000  5.112
9.970  5.000  4.777
9.980  5.000  4.905
9.990  5.000  4.857
10.000  5.000  5.187
10.010  5.000  5.001
10.020  5.000  4.760
10.030  5.000  4.563
10.040  5.000  4.935
10.050  5.000  5.225
10.060  5.000  5.093
10.070  5.000  4.850
10.080  5.000  4.575
10.090  5.000  4.796
10.100  5.000  5.057
10.110  5.000  5.179
10.120  5.000  5.025
10.130  5.000  4.705
10.140  5.000  4.795
10.150  5.000  5.015
10.160  5.000  5.300
10.170  5.000  5.139
10.180  5.000  4.815
10.190  5.000  4.867
10.200  5.000  5.073
10.210  5.000  5.158
10.220  5.000  5.336
10.230  5.000  4.927
10.240  5.000  4.799
10.250  5.000  5.059
10.260  5.000  5.350
10.270  5.000  5.354
10.280  5.000  5.126
10.290  5.000  4.827
10.300  5.000  4.805
10.310  5.000  4.997
10.320  5.000  5.284
10.330  5.000  5.155
10.340  5.000  4.868
10.350  5.000  4.858
10.360  5.000  5.038
10.370  5.000  5.080
10.380  5.000  5.133
10.390  5.000  4.863
10.400  5.000  4.673
10.410  5.000  4.812
10.420  5.000  5.134
10.430  5.000  5.174
10.440  5.000  4.962
10.450  5.000  4.787
10.460  5.000  4.915
10.470  5.000  5.079
10.480  5.000  5.072
10.490  5.000  5.066
10.500  5.000  4.867
10.510  5.000  4.832
10.520  5.000  4.924
10.530  5.000  5.121
10.540  5.000  5.053
10.550  5.000  4.918
10.560  5.000  4.965
10.570  5.000  5.123
10.580  5.000  5.078
10.590  5.000  5.135
10.600  5.000  4.706
10.610  5.000  4.969
10.620  5.000  5.079
10.630  5.000  5.114
10.640  5.000  5.086
10.650  5.000  4.879
10.660  5.000  5.064
10.670  5.000  5.113
10.680  5.000  5.013
10.690  5.000  4.890
10.700  5.000  5.012
10.710  5.000  4.995
10.720  5.000  4.924
10.730  5.000  4.984
10.740  5.000  5.079
10.750  5.000  5.058
10.760  5.000  5.052
10.770  5.000  4.942
10.780  5.000  4.894
10.790  5.000  4.947
10.800  5.000  5.048
10.810  5.000  4.954
10.820  5.000  4.949
10.830  5.000  5.128
10.840  5.000  4.807
10.850  5.000  4.983
10.860  5.000  4.886
10.870  5.000  5.132
10.880  5.000  5.109
10.890  5.000  4.928
10.900  5.000  4.868
10.910  5.000  4.931
10.920  5.000  5.210
10.930  5.000  5.197
10.940  5.000  4.980
10.950  5.000  4.771
10.960  5.000  4.959
10.970  5.000  5.354
10.980  5.000  5.106
10.990  5.000  4.798
11.000  5.000  4.904
11.010  5.000  4.971
11.020  5.000  4.942
11.030  5.000  5.064
11.040  5.000  5.017
11.050  5.000  4.851
11.060  5.000  4.894
11.070  5.000  4.858
11.080  5.000  5.128
11.090  5.000  5.263
11.100  5.000  5.021
11.110  5.000  4.719
11.120  5.000  4.897
11.130  5.000  5.100
11.140  5.000  5.205
11.150  5.000  5.073
11.160  5.000  4.971
11.170  5.000  5.038
11.180  5.000  4.869
11.190  5.000  5.115
11.200  5.000  5.128
11.210  5.000  5.081
11.220  5.000  4.991
11.230  5.000  4.851
11.240  5.000  5.167
11.250  5.000  5.118
11.260  5.000  4.847
11.270  5.000  4.954
11.280  5.000  4.972
11.290  5.000  5.025
11.300  5.000  5.032
11.310  5.000  5.084
11.320  5.000  4.981
11.330  5.000  5.007
11.340  5.000  4.870
11.350  5.000  5.071
11.360  5.000  4.947
11.370  5.000  4.918
11.380  5.000  4.972
11.390  5.000  4.974
11.400  5.000  5.088
11.410  5.000  5.025
11.420  5.000  4.928
11.430  5.000  4.935
11.440  5.000  4.921
11.450  5.000  4.861
11.460  5.000  5.039
11.470  5.000  5.024
11.480  5.000  5.069
11.490  5.000  4.885
11.500  5.000  4.957
11.510  5.000  5.162
11.520  5.000  5.073
11.530  5.000  4.923
11.540  5.000  4.774
11.550  5.000  4.893
